InChI                                                               	SMILES                  	Specie  	NameInMech  	Formula  	NoGAVs  	GAVsName                                                                                                        	Quantity                            	Symmetry	Rotors	IfRad	ParentMol   	C 	H 	O 	N 	Linearity
InChI=1S/C7H15/c1-3-5-7-6-4-2/h5H,3-4,6-7H2,1-2H3                   	CC[CH]CCCC              	NC7H153J	C7H15-3      	C7H15   	10      	C/C/H3,C/C2/H2,S,S/BETA                                                                                             	2,5,1,2                         	9       	6     	YES 	no           	7 	15	0 	0 	no
InChI=1S/C7H15/c1-3-5-7-6-4-2/h7H,3-6H2,1-2H3                       	CCC[CH]CCC              	NC7H154J	C7H15-4      	C7H15   	10      	C/C/H3,C/C2/H2,S,S/BETA                                                                                             	2,5,1,2                         	9       	6     	YES 	no           	7 	15	0 	0 	no
InChI=1S/C4H9/c1-4(2)3/h4H,1H2,2-3H3                                	CC([CH2])C              	IC4H91J 	IC4H91J      	C4H9    	5       	C/C/H3,C/C3/H,IC4H9                                                                                                 	3,1,1                           	18      	3     	YES 	no           	4 	9 	0 	0 	no
InChI=1S/C4H9/c1-4(2)3/h1-3H3                                       	C[C](C)C                	IC4H92J 	TC4H9        	C4H9    	5       	C/C/H3,C/C3/H,TC4H9                                                                                                 	3,1,1                           	162     	3     	YES 	no           	4 	9 	0 	0 	no
InChI=1S/C5H11/c1-4-5(2)3/h5H,2,4H2,1,3H3                           	CCC([CH2])C             	IC5H111J	AC5H11       	C5H11   	10      	C/C/H3,C/C2/H2,C/C3/H,RG2,OI,P,P/BETA                                                                                	3,1,1,1,1,1,2                   	18       	4     	YES 	no           	5 	11	0 	0 	no
InChI=1S/C5H11/c1-4-5(2)3/h4H2,1-3H3                                	CC[C](C)C                	IC5H112J	BC5H11       	C5H11   	8       	C/C/H3,C/C2/H2,C/C3/H,RG1,T,T/BETA                                                                                  	3,1,1,1,1,1                     	54       	4     	YES 	no           	5 	11	0 	0 	no
InChI=1S/C5H11/c1-4-5(2)3/h4-5H,1-3H3                               	C[CH]C(C)C              	IC5H113J	CC5H11       	C5H11   	9       	C/C/H3,C/C2/H2,C/C3/H,RG1,S,S/BETA                                                                                  	3,1,1,1,1,2                     	27       	4     	YES 	no           	5 	11	0 	0 	no
InChI=1S/C5H11/c1-4-5(2)3/h5H,1,4H2,2-3H3                           	[CH2]CC(C)C             	IC5H114J	DC5H11       	C5H11   	8       	C/C/H3,C/C2/H2,C/C3/H,RG2,P,P/BETA                                                                                  	3,1,1,1,1,1                     	18       	4     	YES 	no           	5 	11	0 	0 	no
InChI=1S/C5H11/c1-5(2,3)4/h1H2,2-4H3                                	CC([CH2])(C)C           	NEOC5H11J	NEOC5H11    	C5H11   	6       	C/C/H3,C/C4,NEO-C5                                                                                                  	4,1,1                           	162     	4     	YES 	no           	5 	11	0 	0 	no
InChI=1S/C6H13/c1-5-6(2,3)4/h2,5H2,1,3-4H3                          	CCC([CH2])(C)C          	22DMB1J 	NEC6-1       	C6H13   	12      	C/C/H3,C/C2/H2,C/C4,AG,RG2,P,P/BETA                                                                                 	4,1,1,1,1,1,3                   	54      	5     	YES 	no           	6 	13	0 	0 	no
InChI=1S/C6H13/c1-5-6(2,3)4/h5H,1-4H3                               	C[CH]C(C)(C)C           	22DMB3J 	NEC6-3       	C6H13   	12      	C/C/H3,C/C2/H2,C/C4,RG1,S,S/BETA                                                                                    	4,1,1,2,1,3                     	243     	5     	YES 	no           	6 	13	0 	0 	no
InChI=1S/C6H13/c1-5-6(2,3)4/h1,5H2,2-4H3                            	[CH2]CC(C)(C)C          	22DMB4J 	NEC6-4       	C6H13   	10      	C/C/H3,C/C2/H2,C/C4,RG2,P,P/BETA                                                                                    	4,1,1,2,1,1                     	162     	5     	YES 	no           	6 	13	0 	0 	no
