InChI                                                               	SMILES                  	Specie  	NameInMech  	Formula  	NoGAVs  	GAVsName                                                                                                        	Quantity                            	Symmetry	Rotors	IfRad	ParentMol   	C 	H 	O 	N 	Linearity
InChI=1S/C6H14O2/c1-5(2)6(3)4-8-7/h5-7H,4H2,1-3H3                   	OOCC(C(C)C)C            	23DMB1O2H	XC6-1OOH    	C6H14O2 	13      	C/C/H3,C/C3/H,C/C/H2/OO,OO/CP/H,GA/OOH,GA/OH,AG,AG/COOH,OI                                                           	3,2,1,1,1,1,1,1,2               	27      	7     	no  	no          	6 	14	2 	0 	no
InChI=1S/C6H14O2/c1-5(2)6(3,4)8-7/h5,7H,1-4H3                       	OOC(C(C)C)(C)C          	23DMB2O2H	XC6-2OOH    	C6H14O2 	14      	C/C/H3,C/C3/H,C/C3/OO,OO/CT/H,GA/OOH,GA/OH,AG,OI                                                                     	4,1,1,1,2,2,2,1                  	81      	7     	no  	no          	6 	14	2 	0 	no
InChI=1S/C7H16O2/c1-6(2)4-7(3)5-9-8/h6-8H,4-5H2,1-3H3               	OOCC(CC(C)C)C           	24DMP1O2H	24DMP1O2H   	C7H16O2 	14      	C/C/H3,C/C2/H2,C/C3/H,C/C/H2/OO,OO/CP/H,GA/OOH,GA/OH,AG,AG/COOH,OI                                                   	3,1,2,1,1,1,1,1,1,2              	27      	8     	no  	no          	7 	16	2 	0 	no
InChI=1S/C7H16O2/c1-6(2)5-7(3,4)9-8/h6,8H,5H2,1-4H3                 	OOC(CC(C)C)(C)C         	24DMP2O2H	24DMP2O2H   	C7H16O2 	14      	C/C/H3,C/C2/H2,C/C3/H,C/C3/OO,OO/CT/H,GA/OOH,GA/OH,AG,AG/COOH,OI                                                    	4,1,1,1,1,1,2,1,1,1             	81      	8     	no  	no          	7 	16	2 	0 	no
InChI=1S/C7H16O2/c1-5(2)7(9-8)6(3)4/h5-8H,1-4H3                     	OOC(C(C)C)C(C)C         	24DMP3O2H	24DMP3O2H   	C7H16O2 	15      	C/C/H3,C/C3/H,C/C2/H/OO,OO/CS/H,GA/OOH,GA/OH,AG,OI                                                                  	4,2,1,1,3,1,2,1                 	81      	8     	no  	no          	7 	16	2 	0 	no
InChI=1S/C8H18O2/c1-7(2)5-8(3,4)6-10-9/h7,9H,5-6H2,1-4H3             	OOCC(CC(C)C)(C)C        	TMP1O2H 	IC8OOH1     	C8H18O2 	17      	C/C/H3,C/C2/H2,C/C3/H,C/C4,C/C/H2/OO,OO/CP/H,GA/OOH,GA/OH,AG,AG/COOH,H/REPEL/15,OI                                   	4,1,1,1,1,1,2,1,2,1,1,1          	81      	9     	no  	no          	8 	18	2 	0 	no
InChI=1S/C8H18O2/c1-6(2)7(10-9)8(3,4)5/h6-7,9H,1-5H3                 	OOC(C(C)(C)C)C(C)C      	TMP3O2H 	IC8OOH3     	C8H18O2 	19      	C/C/H3,C/C3/H,C/C4,C/C2/H/OO,OO/CS/H,GA/OOH,GA/OH,AG,H/REPEL/15,OI                                                  	5,1,1,1,1,3,1,3,1,2             	729     	9     	no  	no          	8 	18	2 	0 	no
InChI=1S/C8H18O2/c1-7(2,3)6-8(4,5)10-9/h9H,6H2,1-5H3                 	OOC(CC(C)(C)C)(C)C      	TMP4O2H 	IC8OOH4     	C8H18O2 	17      	C/C/H3,C/C2/H2,C/C4,C/C3/OO,OO/CT/H,GA/OOH,GA/OH,AG,AG/COOH,H/REPEL/15,OI                                            	5,1,1,1,1,1,2,1,2,1,1           	729     	9     	no  	no          	8 	18	2 	0 	no
InChI=1S/C8H18O2/c1-7(6-10-9)5-8(2,3)4/h7,9H,5-6H2,1-4H3            	OOCC(CC(C)(C)C)C        	TMP5O2H 	IC8OOH5     	C8H18O2 	17      	C/C/H3,C/C2/H2,C/C3/H,C/C4,C/C/H2/OO,OO/CP/H,GA/OOH,GA/OH,AG,H/REPEL/15,OI                                           	4,1,1,1,1,1,1,1,3,1,2           	243     	9     	no  	no          	8 	18	2 	0 	no
InChI=1S/CH3O2/c1-3-2/h1H3                                          	CO[O]                   	CH3O2   	CH3O2       	CH3O2   	3       	C/H3/OO,OO/ME/H,MEPEROX                                                                                              	1,1,1                           	3       	1     	yes 	CH3OOH      	1 	3 	2 	0 	no
InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3                                   	CCO[O]                  	C2H5O2  	C2H5O2       	C2H5O2  	5       	C/C/H3,C/C/H2/OO,OO/CP/H,GA/OJ,ALPEROX/P                                                                            	1,1,1,1,1                       	3       	2     	yes 	C2H5OOH     	2 	5 	2 	0 	no
InChI=1S/C3H7O2/c1-2-3-5-4/h2-3H2,1H3                               	CCCO[O]                 	NC3H7O2 	NC3H7O2      	C3H7O2  	7       	C/C/H3,C/C2/H2,C/C/H2/OO,OO/CP/H,GA/OOJ,GA/OJ,ALPEROX/P                                                             	1,1,1,1,1,1,1                   	3       	3     	yes 	C3H7OOH     	3 	7 	2 	0 	no
InChI=1S/C3H7O2/c1-3(2)5-4/h3H,1-2H3                                	[O]OC(C)C               	IC3H7O2 	IC3H7O2      	C3H7O2  	6       	C/C/H3,C/C2/H/OO,OO/CS/H,GA/OJ,ALPEROX/S                                                                             	2,1,1,1,1                       	9       	3     	yes 	2CH3CHOOH   	3 	7 	2 	0 	no
InChI=1S/C4H9O2/c1-2-3-4-6-5/h2-4H2,1H3                             	CCCCO[O]                	NBT1O2  	PC4H9O2      	C4H9O2  	8       	C/C/H3,C/C2/H2,C/C/H2/OO,OO/CP/H,GA/OOJ,GA/OJ,ALPEROX/P                                                              	1,2,1,1,1,1,1                   	3       	4     	yes 	no           	4 	9 	2 	0 	no
InChI=1S/C4H9O2/c1-3-4(2)6-5/h4H,3H2,1-2H3                          	CC(O[O])CC              	NBT2O2  	NBT2O2      	C4H9O2  	9       	C/C/H3,C/C2/H2,C/C2/H/OO,OO/CS/H,GA/OOJ,GA/OJ,OI,ALPEROX/S                                                          	2,1,1,1,1,1,1,1                 	9       	4     	yes 	no           	4 	9 	2 	0 	no
InChI=1S/C4H9O2/c1-4(2)3-6-5/h4H,3H2,1-2H3                          	[O]OCC(C)C              	IBT1O2  	IBT1O2      	C4H9O2  	8       	C/C/H3,C/C3/H,C/C/H2/OO,OO/CP/H,GA/OOJ,GA/OJ,ALPEROX/P                                                              	2,1,1,1,1,1,1                   	9       	4     	yes 	no           	4 	9 	2 	0 	no
InChI=1S/C4H9O2/c1-4(2,3)6-5/h1-3H3                                 	[O]OC(C)(C)C            	IBT2O2  	IBT2O2      	C4H9O2  	8       	C/C/H3,C/C3/OO,OO/CT/H,GA/OJ,ALPEROX/T                                                                              	3,1,1,2,1                       	81       	4     	yes 	no           	4 	9 	2 	0 	no
InChI=1S/C5H11O2/c1-2-3-4-5-7-6/h2-5H2,1H3                          	CCCCCO[O]               	NPT1O2  	C5H11O2-1   	C5H11O2 	9       	C/C/H3,C/C2/H2,C/C/H2/OO,OO/CP/H,GA/OOJ,GA/OJ,ALPEROX/P                                                             	1,3,1,1,1,1,1                   	3        	5     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-3-4-5(2)7-6/h5H,3-4H2,1-2H3                     	CC(O[O])CCC             	NPT2O2  	C5H11O2-2   	C5H11O2 	10      	C/C/H3,C/C2/H2,C/C2/H/OO,OO/CS/H,GA/OOJ,GA/OJ,OI,ALPEROX/S                                                          	2,2,1,1,1,1,1,1                 	9        	5     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-3-5(4-2)7-6/h5H,3-4H2,1-2H3                     	CCC(O[O])CC             	NPT3O2  	C5H11O2-3   	C5H11O2 	10      	C/C/H3,C/C2/H2,C/C2/H/OO,OO/CS/H,GA/OOJ,GA/OJ,ALPEROX/S                                                             	2,2,1,1,2,1,1                   	9        	5     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-3-5(2)4-7-6/h5H,3-4H2,1-2H3                     	CC(CC)CO[O]             	IPT1O2  	AC5H11O2    	C5H11O2 	11      	C/C/H3,C/C2/H2,C/C3/H,C/C/H2/OO,OO/CP/H,GA/OOJ,GA/OJ,AG,OI,ALPEROX/P                                                	2,1,1,1,1,1,1,1,1,1              	9        	5     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-4-5(2,3)7-6/h4H2,1-3H3                          	CCC(O[O])(C)C           	IPT2O2  	BC5H11O2    	C5H11O2 	11      	C/C/H3,C/C2/H2,C/C3/OO,OO/CT/H,GA/OOJ,GA/OJ,AG,ALPEROX/T                                                            	3,1,1,1,1,2,1,1                  	27      	5     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-4(2)5(3)7-6/h4-5H,1-3H3                         	[O]OC(C(C)C)C           	IPT3O2  	CC5H11O2    	C5H11O2 	11      	C/C/H3,C/C3/H,C/C2/H/OO,OO/CS/H,GA/OOJ,GA/OJ,AG,OI,ALPEROX/S                                                         	3,1,1,1,1,1,1,1,1                	27      	5     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-5(2)3-4-7-6/h5H,3-4H2,1-2H3                     	[O]OCCC(C)C             	IPT4O2  	DC5H11O2    	C5H11O2 	10      	C/C/H3,C/C2/H2,C/C3/H,C/C/H2/OO,OO/CP/H,GA/OOJ,GA/OJ,AG/COOH,ALPEROX/P                                              	2,1,1,1,1,1,1,1,1                	9       	5     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-5(2,3)4-7-6/h4H2,1-3H3                          	[O]OCC(C)(C)C           	NEOPTO2 	NEOC5H11O2   	C5H11O2 	10      	C/C/H3,C/C4,C/C/H2/OO,OO/CP/H,GA/OOJ,GA/OJ,ALPEROX/P                                                                 	3,1,1,1,2,1,1                   	81      	5     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C6H13O2/c1-4-6(2,3)5-8-7/h4-5H2,1-3H3                      	CCC(CO[O])(C)C          	22DMB1O2	NEC6-1O2    	C6H13O2 	13      	C/C/H3,C/C2/H2,C/C4,C/C/H2/OO,OO/CP/H,GA/OOJ,GA/OJ,AG,ALPEROX/P                                                     	3,1,1,1,1,2,1,2,1                	27      	6     	yes 	no           	6 	13	2 	0 	no
InChI=1S/C6H13O2/c1-5(8-7)6(2,3)4/h5H,1-4H3                         	[O]OC(C(C)(C)C)C         	22DMB3O2	NEC6-3O2    	C6H13O2 	14      	C/C/H3,C/C4,C/C2/H/OO,OO/CS/H,GA/OOJ,GA/OJ,AG,OI,ALPEROX/S                                                          	4,1,1,1,2,1,2,1,1                	243     	6     	yes 	no           	6 	13	2 	0 	no
InChI=1S/C6H13O2/c1-6(2,3)4-5-8-7/h4-5H2,1-3H3                      	[O]OCCC(C)(C)C          	22DMB4O2	NEC6-4O2    	C6H13O2 	12      	C/C/H3,C/C2/H2,C/C4,C/C/H2/OO,OO/CP/H,GA/OOJ,GA/OJ,AG/COOH,ALPEROX/P                                                 	3,1,1,1,1,1,1,2,1                	81       	6     	yes 	no           	6 	13	2 	0 	no
InChI=1S/C6H13O2/c1-5(2)6(3)4-8-7/h5-6H,4H2,1-3H3                   	[O]OCC(C(C)C)C          	23DMB1O2	XC6-1O2     	C6H13O2 	13      	C/C/H3,C/C3/H,C/C/H2/OO,OO/CP/H,GA/OOJ,GA/OJ,AG,AG/COOH,OI,ALPEROX/P                                                 	3,2,1,1,1,1,1,1,1,1              	27       	6     	yes 	no           	6 	13	2 	0 	no
InChI=1S/C6H13O2/c1-5(2)6(3,4)8-7/h5H,1-4H3                         	[O]OC(C(C)C)(C)C        	23DMB2O2	XC6-2O2     	C6H13O2 	14      	C/C/H3,C/C3/H,C/C3/OO,OO/CT/H,GA/OOJ,GA/OJ,AG,ALPEROX/T                                                              	4,1,1,1,2,2,2,1                 	81       	6     	yes 	no           	6 	13	2 	0 	no
InChI=1S/C7H15O2/c1-6(2)4-7(3)5-9-8/h6-7H,4-5H2,1-3H3               	[O]OCC(CC(C)C)C         	24DMP1O2	24DMP1O2     	C7H15O2 	14      	C/C/H3,C/C2/H2,C/C3/H,C/C/H2/OO,OO/CP/H,GA/OOJ,GA/OJ,AG,AG/COOH,OI,ALPEROX/P                                        	3,1,2,1,1,1,1,1,1,1,1            	27       	7     	yes 	no           	7 	15	2 	0 	no
InChI=1S/C7H15O2/c1-6(2)5-7(3,4)9-8/h6H,5H2,1-4H3                   	[O]OC(CC(C)C)(C)C       	24DMP2O2	24DMP2O2     	C7H15O2 	14      	C/C/H3,C/C2/H2,C/C3/H,C/C3/OO,OO/CT/H,GA/OOJ,GA/OJ,AG,AG/COOH,ALPEROX/T                                             	4,1,1,1,1,1,2,1,1,1              	81       	7     	yes 	no           	7 	15	2 	0 	no
InChI=1S/C7H15O2/c1-5(2)7(9-8)6(3)4/h5-7H,1-4H3                     	[O]OC(C(C)C)C(C)C       	24DMP3O2	24DMP3O2     	C7H15O2 	15      	C/C/H3,C/C3/H,C/C2/H/OO,OO/CS/H,GA/OOJ,GA/OJ,AG,ALPEROX/S                                                           	4,2,1,1,3,1,2,1                 	81       	7     	yes 	no           	7 	15	2 	0 	no
InChI=1S/C8H17O2/c1-7(2)5-8(3,4)6-10-9/h7H,5-6H2,1-4H3              	[O]OCC(CC(C)C)(C)C      	TMP1O2  	IC8-1O2R     	C8H17O2 	17      	C/C/H3,C/C2/H2,C/C3/H,C/C4,C/C/H2/OO,OO/CP/H,GA/OOJ,GA/OJ,AG,AG/COOH,H/REPEL/15,ALPEROX/P                           	4,1,1,1,1,1,2,1,2,1,1,1          	81       	8     	yes 	no           	8 	17	2 	0 	no
InChI=1S/C8H17O2/c1-6(2)7(10-9)8(3,4)5/h6-7H,1-5H3                  	[O]OC(C(C)(C)C)C(C)C     	TMP3O2  	IC8-3O2R     	C8H17O2 	19      	C/C/H3,C/C3/H,C/C4,C/C2/H/OO,OO/CS/H,GA/OOJ,GA/OJ,AG,H/REPEL/15,OI,ALPEROX/S                                        	5,1,1,1,1,3,1,3,1,1,1            	729      	8     	yes 	no           	8 	17	2 	0 	no
InChI=1S/C8H17O2/c1-7(2,3)6-8(4,5)10-9/h6H2,1-5H3                   	[O]OC(CC(C)(C)C)(C)C     	TMP4O2  	IC8-4O2R     	C8H17O2 	17      	C/C/H3,C/C2/H2,C/C4,C/C3/OO,OO/CT/H,GA/OOJ,GA/OJ,AG,AG/COOH,H/REPEL/15,ALPEROX/T                                     	5,1,1,1,1,1,2,1,2,1,1           	729      	8     	yes 	no           	8 	17	2 	0 	no
InChI=1S/C8H17O2/c1-7(6-10-9)5-8(2,3)4/h7H,5-6H2,1-4H3              	[O]OCC(CC(C)(C)C)C      	TMP5O2  	IC8-5O2R     	C8H17O2 	17      	C/C/H3,C/C2/H2,C/C3/H,C/C4,C/C/H2/OO,OO/CP/H,GA/OOJ,GA/OJ,AG,H/REPEL/15,OI,ALPEROX/P                                	4,1,1,1,1,1,1,1,3,1,1,1         	243      	8     	yes 	no           	8 	17	2 	0 	no
InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2                                  	[CH2]COO                	C2H4O2H2J	C2H4O2H      	C2H5O2  	6       	C/C/H3,C/C/H2/OO,OO/CP/H,RG2/OH,OI,CJCOOH                                                                            	1,1,1,1,1,1                      	2       	3     	yes 	no           	2 	5 	2 	0 	no
InChI=1S/C3H7O2/c1-2-3-5-4/h2,4H,3H2,1H3                            	C[CH]COO                	NC3H6O2H2	C3H6OOH1-2   	C3H7O2  	8       	C/C/H3,C/C2/H2,C/C/H2/OO,OO/CP/H,RG2/OH,RG1/OOH,OI,CCJCOOH                                                           	1,1,1,1,1,1,1,1                 	3       	4     	yes 	no           	3 	7 	2 	0 	no
InChI=1S/C3H7O2/c1-2-3-5-4/h4H,1-3H2                                	[CH2]CCOO               	NC3H6O2H3	C3H6OOH1-3   	C3H7O2  	9       	C/C/H3,C/C2/H2,C/C/H2/OO,OO/CP/H,GA/OH,RG2/OOH,OI,P/QOOH,P/QOOH/C-BETA                                              	1,1,1,1,1,1,1,1,1               	2       	4     	yes 	no           	3 	7 	2 	0 	no
InChI=1S/C3H7O2/c1-3(2)5-4/h3-4H,1H2,2H3                            	OOC([CH2])C             	IC3H6O2H1	C3H6OOH2-1   	C3H7O2  	8       	C/C/H3,C/C2/H/OO,OO/CS/H,RG2/OH,OI,C2JCOOH                                                                          	2,1,1,1,2,1                      	6       	4     	yes 	no           	3 	7 	2 	0 	no
InChI=1S/C4H9O2/c1-2-3-4-6-5/h3,5H,2,4H2,1H3                        	CC[CH]COO               	NBT1O2H2J	C4H8OOH1-2   	C4H9O2  	10      	C/C/H3,C/C2/H2,C/C/H2/OO,OO/CP/H,RG2/OH,RG1/OOH,OI,CCCJCOOH                                                         	1,2,1,1,1,1,2,1                 	3       	5     	yes 	no           	4 	9 	2 	0 	no
InChI=1S/C4H9O2/c1-2-3-4-6-5/h2,5H,3-4H2,1H3                        	C[CH]CCOO               	NBT1O2H3J	C4H8OOH1-3   	C4H9O2  	11      	C/C/H3,C/C2/H2,C/C/H2/OO,OO/CP/H,GA/OH,RG2/OOH,OI,S/QOOH,S/QOOH/C-BETA                                              	1,2,1,1,1,1,2,1,1               	3       	5     	yes 	no           	4 	9 	2 	0 	no
InChI=1S/C4H9O2/c1-2-3-4-6-5/h5H,1-4H2                              	[CH2]CCCOO              	NBT1O2H4J	C4H8OOH1-4   	C4H9O2  	10      	C/C/H3,C/C2/H2,C/C/H2/OO,OO/CP/H,GA/OOH,GA/OH,OI,P/QOOH,P/QOOH/C-BETA                                                	1,2,1,1,1,1,1,1,1               	2       	5     	yes 	no           	4 	9 	2 	0 	no
InChI=1S/C4H9O2/c1-3-4(2)6-5/h4-5H,2-3H2,1H3                        	[CH2]C(OO)CC            	NBT2O2H1J	C4H8OOH2-1   	C4H9O2  	10      	C/C/H3,C/C2/H2,C/C2/H/OO,OO/CS/H,GA/OOH,GA/OH,OI,C2JCOOH                                                            	2,1,1,1,1,1,2,1                 	6       	5     	yes 	no           	4 	9 	2 	0 	no
InChI=1S/C4H9O2/c1-3-4(2)6-5/h3-5H,1-2H3                            	CC(OO)[CH]C             	NBT2O2H3J	C4H8OOH2-3   	C4H9O2  	12      	C/C/H3,C/C2/H2,C/C2/H/OO,OO/CS/H,GA/OH,RG1/OOH,OI,S/QOOH,S/QOOH/C-BETA,S/QOOH/O-BETA                                 	2,1,1,1,1,1,2,1,1,1             	9       	5     	yes 	no           	4 	9 	2 	0 	no
InChI=1S/C4H9O2/c1-3-4(2)6-5/h4-5H,1,3H2,2H3                        	CC(OO)C[CH2]            	NBT2O2H4J	C4H8OOH2-4   	C4H9O2  	11      	C/C/H3,C/C2/H2,C/C2/H/OO,OO/CS/H,GA/OH,RG2/OOH,OI,P/QOOH,P/QOOH/C-BETA                                              	2,1,1,1,1,1,2,1,1                	6       	5     	yes 	no           	4 	9 	2 	0 	no
InChI=1S/C4H9O2/c1-4(2)3-6-5/h5H,3H2,1-2H3                          	OOC[C](C)C              	IBT1O2H2J	IBT1O2H2J   	C4H9O2  	10      	C/C/H3,C/C3/H,C/C/H2/OO,OO/CP/H,GA/OH,RG1/OOH,OI,C2CJCOOH                                                            	2,1,1,1,1,2,1,1                 	18      	5     	yes 	no           	4 	9 	2 	0 	no
InChI=1S/C4H9O2/c1-4(2)3-6-5/h4-5H,1,3H2,2H3                        	OOCC([CH2])C            	IBT1O2H3J	IBT1O2H3J   	C4H9O2  	12      	C/C/H3,C/C3/H,C/C/H2/OO,OO/CP/H,GA/OOH,GA/OH,OI,P/QOOH,P/QOOH/C-BETA                                                	2,1,1,1,1,1,2,1,2                	6       	5     	yes 	no           	4 	9 	2 	0 	no
InChI=1S/C4H9O2/c1-4(2,3)6-5/h5H,1H2,2-3H3                          	OOC([CH2])(C)C          	IBT2O2H1J	IBT2O2H1J   	C4H9O2  	9       	C/C/H3,C/C3/OO,OO/CT/H,GA/OH,OI,C3JCOOH                                                                             	3,1,1,2,1,1                     	18      	5     	yes 	no           	4 	9 	2 	0 	no
InChI=1S/C5H11O2/c1-2-3-4-5-7-6/h4,6H,2-3,5H2,1H3                   	CCC[CH]COO              	NPT1O2H2J	C5H10OOH1-2  	C5H11O2 	10      	C/C/H3,C/C2/H2,C/C/H2/OO,OO/CP/H,RG2/OH,RG1/OOH,OI,CCCJCOOH                                                         	1,3,1,1,1,1,1,1                 	3       	6     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-2-3-4-5-7-6/h3,6H,2,4-5H2,1H3                   	CC[CH]CCOO              	NPT1O2H3J	C5H10OOH1-3  	C5H11O2 	12      	C/C/H3,C/C2/H2,C/C/H2/OO,OO/CP/H,GA/OH,RG2/OOH,OI,S/QOOH,S/QOOH/C-BETA                                              	1,3,1,1,1,1,1,1,2                	3       	6     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-2-3-4-5-7-6/h2,6H,3-5H2,1H3                     	C[CH]CCCOO              	NPT1O2H4J	C5H10OOH1-4  	C5H11O2 	11      	C/C/H3,C/C2/H2,C/C/H2/OO,OO/CP/H,GA/OOH,GA/OH,OI,S/QOOH,S/QOOH/C-BETA                                               	1,3,1,1,1,1,1,1,1                	3       	6     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-2-3-4-5-7-6/h6H,1-5H2                           	[CH2]CCCCOO             	NPT1O2H5J	C5H10OOH1-5  	C5H11O2 	11      	C/C/H3,C/C2/H2,C/C/H2/OO,OO/CP/H,GA/OOH,GA/OH,OI,P/QOOH,P/QOOH/C-BETA                                               	1,3,1,1,1,1,1,1,1                	2       	6     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-3-4-5(2)7-6/h5-6H,2-4H2,1H3                     	[CH2]C(OO)CCC           	NPT2O2H1J	C5H10OOH2-1  	C5H11O2 	11      	C/C/H3,C/C2/H2,C/C2/H/OO,OO/CS/H,GA/OOH,GA/OH,OI,C2JCOOH                                                            	2,2,1,1,1,1,2,1                 	6       	6     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-3-4-5(2)7-6/h4-6H,3H2,1-2H3                     	CC(OO)[CH]CC            	NPT2O2H3J	C5H10OOH2-3  	C5H11O2 	14      	C/C/H3,C/C2/H2,C/C2/H/OO,OO/CS/H,RG2/OH,RG1/OOH,OI,S/QOOH,S/QOOH/C-BETA,S/QOOH/O-BETA                                	2,2,1,1,1,1,2,1,2,1             	9       	6     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-3-4-5(2)7-6/h3,5-6H,4H2,1-2H3                   	CC(OO)C[CH]C            	NPT2O2H4J	C5H10OOH2-4  	C5H11O2 	12       	C/C/H3,C/C2/H2,C/C2/H/OO,OO/CS/H,GA/OH,RG2/OOH,OI,S/QOOH,S/QOOH/C-BETA                                              	2,2,1,1,1,1,2,1,1                	9       	6     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-3-4-5(2)7-6/h5-6H,1,3-4H2,2H3                   	CC(OO)CC[CH2]           	NPT2O2H5J	C5H10OOH2-5  	C5H11O2 	13       	C/C/H3,C/C2/H2,C/C2/H/OO,OO/CS/H,GA/OOH,GA/OH,RG2/COOH,OI,P/QOOH,P/QOOH/C-BETA                                      	2,2,1,1,1,1,1,2,1,1             	6       	6     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-3-5(4-2)7-6/h5-6H,1,3-4H2,2H3                   	CCC(OO)C[CH2]           	NPT3O2H1J	C5H10OOH3-1  	C5H11O2 	13       	C/C/H3,C/C2/H2,C/C2/H/OO,OO/CS/H,GA/OOH,RG2/OH,RG2/OOH,OI,P/QOOH,P/QOOH/C-BETA                                      	2,2,1,1,1,1,1,2,1,1             	6       	6     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-3-5(4-2)7-6/h3,5-6H,4H2,1-2H3                   	C[CH]C(OO)CC            	NPT3O2H2J	C5H10OOH3-2  	C5H11O2 	14       	C/C/H3,C/C2/H2,C/C2/H/OO,OO/CS/H,GA/OOJ,GA/OH,RG1/OOH,OI,S/QOOH,S/QOOH/C-BETA,S/QOOH/O-BETA                         	2,2,1,1,1,1,1,2,1,1,1           	9       	6     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-3-5(2)4-7-6/h6H,3-4H2,1-2H3                     	C[C](CC)COO             	IPT1O2H2J	AC5H10OOH-B  	C5H11O2 	12       	C/C/H3,C/C2/H2,C/C3/H,C/C/H2/OO,OO/CP/H,RG2/OH,RG1/OOH,RG1/COOH,OI,C2CJCOOH                                         	2,1,1,1,1,1,2,1,1,1              	9       	6     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-3-5(2)4-7-6/h3,5-6H,4H2,1-2H3                   	CC([CH]C)COO            	IPT1O2H3J	AC5H10OOH-C  	C5H11O2 	14       	C/C/H3,C/C2/H2,C/C3/H,C/C/H2/OO,OO/CP/H,GA/OH,RG2/OOH,RG1/COOH,OI,S/QOOH,S/QOOH/C-BETA                               	2,1,1,1,1,1,1,1,2,1,2           	9       	6     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-3-5(2)4-7-6/h5-6H,1,3-4H2,2H3                   	CC(C[CH2])COO           	IPT1O2H4J	AC5H10OOH-D  	C5H11O2 	13       	C/C/H3,C/C2/H2,C/C3/H,C/C/H2/OO,OO/CP/H,GA/OOH,GA/OH,RG2/COOH,OI,P/QOOH,P/QOOH/C-BETA                               	2,1,1,1,1,1,1,1,2,1,1           	6       	6     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-3-5(2)4-7-6/h5-6H,2-4H2,1H3                     	[CH2]C(CC)COO           	IPT1O2H5J	AC5H10OOH-A  	C5H11O2 	14       	C/C/H3,C/C2/H2,C/C3/H,C/C/H2/OO,OO/CP/H,GA/OH,RG2/OOH,RG2,OI,P/QOOH,P/QOOH/C-BETA                                    	2,1,1,1,1,1,1,1,2,1,2           	6       	6     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-4-5(2,3)7-6/h6H,2,4H2,1,3H3                     	CCC(OO)([CH2])C         	IPT2O2H1J	BC5H10OOH-A  	C5H11O2 	13       	C/C/H3,C/C2/H2,C/C3/OO,OO/CT/H,GA/OOH,GA/OH,RG2/OH,RG2,OI,C3JCOOH                                                   	3,1,1,1,1,1,1,1,2,1              	18      	6     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-4-5(2,3)7-6/h4,6H,1-3H3                         	C[CH]C(OO)(C)C          	IPT2O2H3J	BC5H10OOH-C  	C5H11O2 	15       	C/C/H3,C/C2/H2,C/C3/OO,OO/CT/H,GA/OH,RG2/OH,RG1/OOH,RG1,OI,S/QOOH,S/QOOH/C-BETA,S/QOOH/O-BETA                        	3,1,1,1,1,1,1,1,1,1,2,1          	27      	6     	yes 	no           	5 	11	2 	0 	no
InChI=1S/C5H11O2/c1-4-5(2,3)7-6/h6H,1,4H2,2-3H3                     	[CH2]CC(OO)(C)C         	IPT2O2H4J	BC5H10OOH-D  	C5H11O2 	13       	C/C/H3,C/C2/H2,C/C3/OO,OO/CT/H,GA/OH,RG2/OOH,RG2,OI,P/QOOH,P/QOOH/C-BETA                                             	3,1,1,1,2,1,1,1,1,1             	18      	6     	yes 	no           	5 	11	2 	0 	no
